claimant,claimantNorm,claimantCat
Sarah Huckabee Sanders,Sarah Huckabee Sanders,politician
Scott Fitzgerald,Scott Fitzgerald,politician
Sen. Cory Booker,Cory Booker,politician
Sen. Dianne Feinstein,Dianne Feinstein,politician
Sen. Kamala Harris,Kamala Harris,politician
Sen. Marco Rubio (R-Fla.),Marco Rubio,politician
Seth Moulton,Seth Moulton,politician
Several persons,various sources,various sources
Sheila Jackson Lee,Sheila Jackson Lee,politician
Shelia Stubbs,Shelia Stubbs,politician
Social media,social media user(s),social media user(s)
social media,social media user(s),social media user(s)
SOCIAL MEDIA POST,social media user(s),social media user(s)
Social media user,social media user(s),social media user(s)
Social media users,social media user(s),social media user(s)
social media users,social media user(s),social media user(s)
Sources,various sources,various sources
sources multiples,various sources,various sources
South African Police Service,South African Police Service,government entity
Steve Bullock,Steve Bullock,politician
Steve Israel,Steve Israel,"political website, show, or commentator"
Steve Kerr,Steve Kerr,entertainer
Steve Scalise,Steve Scalise,politician
Tammy Baldwin,Tammy Baldwin,politician
Ted Cruz,Ted Cruz,politician
Ted Deutch,Ted Deutch,politician
the internet,various sources,various sources
Thymiah NA,Facebook user(s),social media user(s)
Tom King,Tom King,entertainer
trendingbalita.online,trendingbalita.online,social media user(s)
Trevor Noah,Trevor Noah,"political website, show, or commentator"
Trump Make America Great Again Committee,Donald Trump,politician
Tsahal,Tsahal,gun association
Tweets,Twitter user(s),social media user(s)
Twitter,Twitter user(s),social media user(s)
Twitter user Uma Garghi and others,Twitter user(s),social media user(s)
Twitter users,Twitter user(s),social media user(s)
twitter.com,Twitter user(s),social media user(s)
Użytkownik Facebooka,Facebook user(s),social media user(s)
usdeplorablesnews.com,usdeplorablesnews.com,"political website, show, or commentator"
Utilizador de Facebook,Facebook user(s),social media user(s)
Utilizador do Facebook,Facebook user(s),social media user(s)
Varias fuentes,various sources,various sources
Various websites,various sources,various sources
Viral image,social media user(s),social media user(s)
Viral Image,social media user(s),social media user(s)
Viral meme,social media user(s),social media user(s)
Viral social media claim,social media user(s),social media user(s)
Viral social media posts,social media user(s),social media user(s)
Viral video,social media user(s),social media user(s)
Wayne LaPierre,Wayne LaPierre,"political website, show, or commentator"
Wayne Messam,Wayne Messam,politician
"Wilder Morais (PP-GO), senador",Wilder Morais,politician
YourNewsWire,yournewswire.com,"political website, show, or commentator"
YourNewsWire.com,yournewswire.com,"political website, show, or commentator"
